time,UGRD_10maboveground,VGRD_10maboveground,DLWRF_surface,APCP_surface,precip_rate,TMP_2maboveground,SPFH_2maboveground,PRES_surface,DSWRF_surface
2024-02-15 13:00:00,8.103053,-2.1150625,171.59901,0.0,0.0,260.8574,0.001652542,101300.0,0.0
2024-02-15 14:00:00,8.750981,-3.8551555,173.24075,0.0,0.0,261.0588,0.0016882654,101300.0,0.0
2024-02-15 15:00:00,8.377811,-4.743563,175.02512,0.0,0.0,262.50043,0.0018687345,101300.0,169.05533
2024-02-15 16:00:00,9.794627,-4.0353847,177.79204,0.0,0.0,264.4784,0.0020492326,101300.0,387.53018
2024-02-15 17:00:00,9.587621,-2.378577,180.13649,0.0,0.0,265.6913,0.0022202644,101300.0,581.61194
2024-02-15 18:00:00,10.248899,-1.5851713,183.59436,0.0,0.0,266.5448,0.0022800858,101300.0,735.00183
2024-02-15 19:00:00,11.541682,-1.8551667,185.9268,0.0,0.0,266.89282,0.002321076,101300.0,812.25934
2024-02-15 20:00:00,7.515791,1.1837736,198.92242,0.0,0.0,267.53738,0.0022312175,101300.0,766.08954
2024-02-15 21:00:00,8.939474,2.2598724,217.37045,0.0,0.0,267.72885,0.0022415838,101300.0,619.3606
2024-02-15 22:00:00,9.010445,3.0311909,271.69843,0.0,0.0,266.64673,0.0024165278,101300.0,272.5828
2024-02-15 23:00:00,9.379828,-0.028357306,256.52344,0.0,0.0,265.39746,0.0025056994,101300.0,238.47525
2024-02-16 00:00:00,7.979097,-1.0535495,242.30276,0.0,0.0,263.85776,0.0022988918,101300.0,78.03757
2024-02-16 01:00:00,7.059396,-3.9020042,183.84119,0.47740704,0.47740704,261.46045,0.002040953,101300.0,0.0
2024-02-16 02:00:00,7.0692973,-5.5800943,186.34674,0.11479727,0.11479727,260.80844,0.001956191,101300.0,0.0
2024-02-16 03:00:00,5.518251,-4.4955072,192.59708,0.0,0.0,259.96896,0.0018805423,101300.0,0.0
2024-02-16 04:00:00,7.6108236,-2.498376,180.09015,0.0,0.0,260.04337,0.001879232,101300.0,0.0
2024-02-16 05:00:00,9.031623,-5.5885615,167.66576,0.0,0.0,259.2853,0.0017118573,101300.0,0.0
2024-02-16 06:00:00,5.892326,-5.304894,163.27225,0.0,0.0,259.061,0.0016649084,101300.0,0.0
2024-02-16 07:00:00,3.9520853,-6.579671,160.06288,0.0,0.0,258.47314,0.0014243568,101300.0,0.0
2024-02-16 08:00:00,3.8399289,-4.749346,159.45364,0.0,0.0,258.05563,0.0014718104,101300.0,0.0
2024-02-16 09:00:00,4.1671968,-4.9246335,160.38094,0.0,0.0,257.36145,0.0013962704,101300.0,0.0
2024-02-16 10:00:00,5.2985144,-4.9018836,161.10153,0.0,0.0,257.32245,0.0014104944,101300.0,0.0
2024-02-16 11:00:00,5.195486,-4.9216895,158.33075,0.0,0.0,257.72095,0.001467105,101300.0,0.0
2024-02-16 12:00:00,6.166397,-5.3878045,160.3173,0.0,0.0,257.98282,0.0014876901,101300.0,0.0
2024-02-16 13:00:00,4.794876,-5.979461,163.37239,0.0,0.0,258.05295,0.0015062526,101300.0,0.0
2024-02-16 14:00:00,5.378508,-7.051578,163.37456,0.0,0.0,257.93085,0.0014639059,101300.0,0.0
2024-02-16 15:00:00,5.9800935,-6.5801163,160.82652,0.0,0.0,258.92993,0.0016219355,101300.0,176.40297
2024-02-16 16:00:00,6.272,-5.2243958,163.08484,0.0,0.0,260.7984,0.0017443853,101300.0,399.83237
2024-02-16 17:00:00,7.8907075,-6.46252,163.82787,0.0,0.0,261.5188,0.0018559012,101300.0,600.18304
2024-02-16 18:00:00,8.117478,-7.0355344,167.61108,0.0,0.0,262.6037,0.0020555914,101300.0,753.57666
